[ 1 ]
[ 1 
; 2 ]
[ 1 
; 2 
; 3 ]
[ 1 
; 2 
; 3 
; 4 ]
[ 1 
; 2 
; 3 
; 4 
; 5 ]
[ 1 
; 2 
; 3 
; 4 
; 5 
; 6 ]
[ 1 
; 2 
; 3 
; 4 
; 5 
; 6 
; 7 ]
[ 1 2 ]
[ 1 3 
; 2 4 ]
[ 1 4 
; 2 5 
; 3 6 ]
[ 1 5 
; 2 6 
; 3 7 
; 4 8 ]
[ 1 6 
; 2 7 
; 3 8 
; 4 9 
; 5 10 ]
[ 1 7 
; 2 8 
; 3 9 
; 4 10 
; 5 11 
; 6 12 ]
[ 1 8 
; 2 9 
; 3 10 
; 4 11 
; 5 12 
; 6 13 
; 7 14 ]
[ 1 2 3 ]
[ 1 3 5 
; 2 4 6 ]
[ 1 4 7 
; 2 5 8 
; 3 6 9 ]
[ 1 5 9 
; 2 6 10 
; 3 7 11 
; 4 8 12 ]
[ 1 6 11 
; 2 7 12 
; 3 8 13 
; 4 9 14 
; 5 10 15 ]
[ 1 7 13 
; 2 8 14 
; 3 9 15 
; 4 10 16 
; 5 11 17 
; 6 12 18 ]
[ 1 8 15 
; 2 9 16 
; 3 10 17 
; 4 11 18 
; 5 12 19 
; 6 13 20 
; 7 14 21 ]
[ 1 2 3 4 ]
[ 1 3 5 7 
; 2 4 6 8 ]
[ 1 4 7 10 
; 2 5 8 11 
; 3 6 9 12 ]
[ 1 5 9 13 
; 2 6 10 14 
; 3 7 11 15 
; 4 8 12 16 ]
[ 1 6 11 16 
; 2 7 12 17 
; 3 8 13 18 
; 4 9 14 19 
; 5 10 15 20 ]
[ 1 7 13 19 
; 2 8 14 20 
; 3 9 15 21 
; 4 10 16 22 
; 5 11 17 23 
; 6 12 18 24 ]
[ 1 8 15 22 
; 2 9 16 23 
; 3 10 17 24 
; 4 11 18 25 
; 5 12 19 26 
; 6 13 20 27 
; 7 14 21 28 ]
[ 1 2 3 4 5 ]
[ 1 3 5 7 9 
; 2 4 6 8 10 ]
[ 1 4 7 10 13 
; 2 5 8 11 14 
; 3 6 9 12 15 ]
[ 1 5 9 13 17 
; 2 6 10 14 18 
; 3 7 11 15 19 
; 4 8 12 16 20 ]
[ 1 6 11 16 21 
; 2 7 12 17 22 
; 3 8 13 18 23 
; 4 9 14 19 24 
; 5 10 15 20 25 ]
[ 1 7 13 19 25 
; 2 8 14 20 26 
; 3 9 15 21 27 
; 4 10 16 22 28 
; 5 11 17 23 29 
; 6 12 18 24 30 ]
[ 1 8 15 22 29 
; 2 9 16 23 30 
; 3 10 17 24 31 
; 4 11 18 25 32 
; 5 12 19 26 33 
; 6 13 20 27 34 
; 7 14 21 28 35 ]
[ 1 2 3 4 5 6 ]
[ 1 3 5 7 9 11 
; 2 4 6 8 10 12 ]
[ 1 4 7 10 13 16 
; 2 5 8 11 14 17 
; 3 6 9 12 15 18 ]
[ 1 5 9 13 17 21 
; 2 6 10 14 18 22 
; 3 7 11 15 19 23 
; 4 8 12 16 20 24 ]
[ 1 6 11 16 21 26 
; 2 7 12 17 22 27 
; 3 8 13 18 23 28 
; 4 9 14 19 24 29 
; 5 10 15 20 25 30 ]
[ 1 7 13 19 25 31 
; 2 8 14 20 26 32 
; 3 9 15 21 27 33 
; 4 10 16 22 28 34 
; 5 11 17 23 29 35 
; 6 12 18 24 30 36 ]
[ 1 8 15 22 29 36 
; 2 9 16 23 30 37 
; 3 10 17 24 31 38 
; 4 11 18 25 32 39 
; 5 12 19 26 33 40 
; 6 13 20 27 34 41 
; 7 14 21 28 35 42 ]
[ 1 2 3 4 5 6 7 ]
[ 1 3 5 7 9 11 13 
; 2 4 6 8 10 12 14 ]
[ 1 4 7 10 13 16 19 
; 2 5 8 11 14 17 20 
; 3 6 9 12 15 18 21 ]
[ 1 5 9 13 17 21 25 
; 2 6 10 14 18 22 26 
; 3 7 11 15 19 23 27 
; 4 8 12 16 20 24 28 ]
[ 1 6 11 16 21 26 31 
; 2 7 12 17 22 27 32 
; 3 8 13 18 23 28 33 
; 4 9 14 19 24 29 34 
; 5 10 15 20 25 30 35 ]
[ 1 7 13 19 25 31 37 
; 2 8 14 20 26 32 38 
; 3 9 15 21 27 33 39 
; 4 10 16 22 28 34 40 
; 5 11 17 23 29 35 41 
; 6 12 18 24 30 36 42 ]
[ 1 8 15 22 29 36 43 
; 2 9 16 23 30 37 44 
; 3 10 17 24 31 38 45 
; 4 11 18 25 32 39 46 
; 5 12 19 26 33 40 47 
; 6 13 20 27 34 41 48 
; 7 14 21 28 35 42 49 ]
