[ 1 ]
[ 1 
; 2 ]
[ 1 
; 2 
; 3 ]
[ 1 
; 2 
; 3 
; 4 ]
[ 1 
; 2 
; 3 
; 4 
; 5 ]
[ 1 2 ]
[ 1 3 
; 2 4 ]
[ 1 4 
; 2 5 
; 3 6 ]
[ 1 5 
; 2 6 
; 3 7 
; 4 8 ]
[ 1 6 
; 2 7 
; 3 8 
; 4 9 
; 5 10 ]
[ 1 2 3 ]
[ 1 3 5 
; 2 4 6 ]
[ 1 4 7 
; 2 5 8 
; 3 6 9 ]
[ 1 5 9 
; 2 6 10 
; 3 7 11 
; 4 8 12 ]
[ 1 6 11 
; 2 7 12 
; 3 8 13 
; 4 9 14 
; 5 10 15 ]
[ 1 2 3 4 ]
[ 1 3 5 7 
; 2 4 6 8 ]
[ 1 4 7 10 
; 2 5 8 11 
; 3 6 9 12 ]
[ 1 5 9 13 
; 2 6 10 14 
; 3 7 11 15 
; 4 8 12 16 ]
[ 1 6 11 16 
; 2 7 12 17 
; 3 8 13 18 
; 4 9 14 19 
; 5 10 15 20 ]
[ 1 2 3 4 5 ]
[ 1 3 5 7 9 
; 2 4 6 8 10 ]
[ 1 4 7 10 13 
; 2 5 8 11 14 
; 3 6 9 12 15 ]
[ 1 5 9 13 17 
; 2 6 10 14 18 
; 3 7 11 15 19 
; 4 8 12 16 20 ]
[ 1 6 11 16 21 
; 2 7 12 17 22 
; 3 8 13 18 23 
; 4 9 14 19 24 
; 5 10 15 20 25 ]
